transaction_id,carrier_id,carrier_name,transaction_type,document_type,timestamp,hour_of_day,day_of_week,email,phone,ip_address,region,state,amount,session_duration_seconds,pages_visited,failed_attempts,device_type,browser,is_anomaly,anomaly_type,risk_score
TXN-000743,CR-0122,Smith-Acevedo Transport,DOCUMENT_SUBMISSION,INSURANCE_CERTIFICATE,2026-03-18 03:32:02,3,Wednesday,nbriggs@example.org,910.886.3655,163.101.15.238,Southwest,DC,0.0,436,15,0,Mobile,Safari,False,NONE,24.7
TXN-001780,CR-0039,Stafford LLC Logistics,INSURANCE_UPDATE,PASSPORT,2026-03-18 05:06:41,5,Wednesday,adamsjennifer@example.com,(270)670-8806x4647,199.13.28.148,Southeast,CT,0.0,1327,5,0,Desktop,Chrome,False,NONE,0.1
TXN-000534,CR-0031,"Allen, Horton and Allison Trucking",CONTACT_UPDATE,COMPLIANCE_FORM,2026-03-18 05:15:21,5,Wednesday,christopher06@example.org,001-803-482-2327x06033,200.61.127.131,Southwest,IN,134.64,711,9,0,Desktop,Chrome,False,NONE,12.2
TXN-001237,CR-0110,Shields Inc Trucking,ADDRESS_CHANGE,INSURANCE_CERTIFICATE,2026-03-18 05:57:55,5,Wednesday,xhall@example.net,(916)766-7620,191.165.64.46,Northwest,TN,404.24,1192,10,0,Mobile,Safari,False,NONE,3.2
TXN-000919,CR-0079,"Hicks, King and Sutton Trucking",COMPLIANCE_CHECK,COMPLIANCE_FORM,2026-03-18 07:46:59,7,Wednesday,rogermacias@example.com,382-304-5285,73.164.104.81,West Coast,AS,378.28,474,6,1,Desktop,Safari,False,NONE,24.2
TXN-000508,CR-0186,"Day, Sullivan and Waller Trucking",COMPLIANCE_CHECK,INSURANCE_CERTIFICATE,2026-03-18 08:22:12,8,Wednesday,darrell10@example.net,(526)302-0672x76062,162.60.130.57,Northwest,AL,426.73,1524,12,0,Mobile,Edge,False,NONE,28.8
TXN-000710,CR-0019,Jackson-Ward Freight,DOCUMENT_SUBMISSION,DRIVERS_LICENSE,2026-03-18 08:23:11,8,Wednesday,joyce16@example.org,(913)644-0190x5456,145.38.200.81,Northeast,NE,0.0,82,13,0,Desktop,Safari,False,NONE,27.0
TXN-001159,CR-0050,"Hayes, Thompson and Morgan Freight",DRIVER_ONBOARDING,INSURANCE_CERTIFICATE,2026-03-18 08:29:47,8,Wednesday,yorkalexis@example.org,001-337-378-2691x6997,109.23.240.34,Southeast,NM,85.62,766,8,0,Desktop,Chrome,False,NONE,13.9
TXN-001697,CR-0197,Castillo Group Logistics,DRIVER_ONBOARDING,DRIVERS_LICENSE,2026-03-18 08:51:22,8,Wednesday,howardsandra@example.org,2213023338,105.26.83.85,Southeast,DE,383.82,961,12,2,Desktop,Chrome,False,NONE,15.7
TXN-001385,CR-0003,Graham-Vincent Logistics,ADDRESS_CHANGE,DRIVERS_LICENSE,2026-03-18 09:14:31,9,Wednesday,andrewpowell@example.org,(774)255-7468x8566,100.65.105.120,Southeast,SC,61.43,936,14,0,Tablet,Chrome,False,NONE,13.1
TXN-000946,CR-0074,"Lara, Jones and Stokes Logistics",AUTHORITY_RENEWAL,PASSPORT,2026-03-18 09:36:54,9,Wednesday,pagesarah@example.com,001-947-392-1523x826,116.28.195.31,West Coast,GA,277.37,1079,5,0,Tablet,Edge,False,NONE,14.4
TXN-001601,CR-0198,Carey and Sons Logistics,NEW_CARRIER_REGISTRATION,DRIVERS_LICENSE,2026-03-18 10:19:04,10,Wednesday,zhill@example.com,(716)513-3573,184.84.193.243,Southeast,AR,0.0,1117,10,1,Tablet,Firefox,False,NONE,19.2
TXN-001014,CR-0192,Kelley Inc Trucking,CONTACT_UPDATE,COMPLIANCE_FORM,2026-03-18 10:38:33,10,Wednesday,jessica12@example.org,(499)440-0997,170.9.83.80,Midwest,PR,0.0,900,3,0,Desktop,Chrome,False,NONE,28.1
TXN-001908,CR-0087,"Hall, Chavez and Robbins Logistics",VEHICLE_ADDITION,DRIVERS_LICENSE,2026-03-18 11:17:56,11,Wednesday,katienorris@example.com,542.301.3287,52.157.206.148,Southeast,ND,0.0,779,5,1,Mobile,Chrome,False,NONE,26.9
TXN-000744,CR-0175,Ray PLC Transport,NEW_CARRIER_REGISTRATION,PASSPORT,2026-03-18 12:42:50,12,Wednesday,christianmatthew@example.org,278.806.9773,81.111.38.163,Southeast,UT,0.0,1584,12,0,Desktop,Firefox,False,NONE,14.3
TXN-001449,CR-0077,"Miller, Ruiz and Martin Logistics",NEW_CARRIER_REGISTRATION,INSURANCE_CERTIFICATE,2026-03-18 13:12:40,13,Wednesday,martinbecker@example.com,+1-896-714-1420x19465,165.231.21.119,Southeast,MT,264.56,597,7,1,Mobile,Firefox,False,NONE,12.8
TXN-001689,CR-0019,Jackson-Ward Freight,INSURANCE_UPDATE,VEHICLE_REGISTRATION,2026-03-18 14:28:47,14,Wednesday,joyce16@example.org,(913)644-0190x5456,157.128.81.81,Northeast,NE,494.42,1175,10,1,Desktop,Edge,False,NONE,22.5
TXN-001527,CR-0104,Benson-Flores Logistics,COMPLIANCE_CHECK,INSURANCE_CERTIFICATE,2026-03-18 15:15:18,15,Wednesday,susan63@example.org,656-225-3269x178,109.171.223.240,Midwest,ID,0.0,1186,3,0,Desktop,Chrome,False,NONE,26.4
TXN-000152,CR-0064,Sweeney Group Freight,VEHICLE_ADDITION,DRIVERS_LICENSE,2026-03-18 15:31:21,15,Wednesday,whitneyapril@example.com,+1-869-793-6722x2857,100.118.28.35,West Coast,MA,166.11,1330,8,1,Desktop,Safari,False,NONE,12.9
TXN-000407,CR-0077,"Miller, Ruiz and Martin Logistics",ADDRESS_CHANGE,DRIVERS_LICENSE,2026-03-18 15:57:32,15,Wednesday,martinbecker@example.com,+1-896-714-1420x19465,77.162.177.92,Southeast,MT,218.99,448,4,0,Desktop,Firefox,False,NONE,14.7
TXN-001705,CR-0161,"Rice, Kane and Suarez Transport",AUTHORITY_RENEWAL,DRIVERS_LICENSE,2026-03-18 16:34:37,16,Wednesday,johnbaldwin@example.com,(971)733-8550x3284,113.150.111.205,Southeast,NY,455.19,674,6,1,Mobile,Safari,False,NONE,11.7
TXN-001424,CR-0003,Graham-Vincent Logistics,NEW_CARRIER_REGISTRATION,INSURANCE_CERTIFICATE,2026-03-18 17:10:29,17,Wednesday,andrewpowell@example.org,(774)255-7468x8566,181.207.101.225,Southeast,SC,59.13,124,4,0,Tablet,Chrome,False,NONE,11.9
TXN-001946,CR-0137,"Nelson, Lindsey and Hawkins Logistics",CONTACT_UPDATE,VEHICLE_REGISTRATION,2026-03-18 17:22:08,17,Wednesday,timothyrussell@example.org,001-967-347-8385x5326,103.244.160.240,Northeast,NC,0.0,403,13,0,Desktop,Safari,False,NONE,10.3
TXN-000604,CR-0062,Mendoza-Morales Trucking,DRIVER_ONBOARDING,INSURANCE_CERTIFICATE,2026-03-18 19:42:39,19,Wednesday,wandaarnold@example.org,688.558.9281x65585,152.97.157.15,Southwest,WI,1.54,1490,8,1,Mobile,Firefox,False,NONE,0.8
TXN-001999,CR-0022,"Black, Fernandez and Mcdowell Freight",INSURANCE_UPDATE,VEHICLE_REGISTRATION,2026-03-18 20:14:32,20,Wednesday,christopherbarry@example.org,651.874.5067,138.210.28.193,West Coast,AZ,0.0,617,5,0,Desktop,Safari,False,NONE,4.9
TXN-001885,CR-0056,Richardson LLC Logistics,AUTHORITY_RENEWAL,DRIVERS_LICENSE,2026-03-19 00:43:47,0,Thursday,mortega@example.net,001-254-632-1870x8906,78.19.207.118,Southeast,WV,87.06,1434,3,0,Desktop,Firefox,False,NONE,3.4
TXN-001064,CR-0158,"Townsend, Allen and Woods Trucking",AUTHORITY_RENEWAL,COMPLIANCE_FORM,2026-03-19 00:59:42,0,Thursday,millerchristopher@example.com,(200)680-3621x07066,99.203.44.230,Southwest,AR,0.0,1275,6,1,Desktop,Safari,False,NONE,4.2
TXN-001630,CR-0004,Richardson-Raymond Trucking,DOCUMENT_SUBMISSION,COMPLIANCE_FORM,2026-03-19 08:20:23,8,Thursday,connerbruce@example.com,(635)278-6779,90.156.179.87,Northwest,WI,0.0,955,13,1,Mobile,Firefox,False,NONE,10.3
TXN-000082,CR-0132,West Group Trucking,ADDRESS_CHANGE,INSURANCE_CERTIFICATE,2026-03-19 08:27:22,8,Thursday,mitchellstevens@example.net,912.493.8611x1483,73.243.234.57,Southwest,VA,207.45,871,10,0,Desktop,Chrome,False,NONE,11.2
TXN-001512,CR-0005,Rivera-Larson Trucking,DOCUMENT_SUBMISSION,PASSPORT,2026-03-19 10:06:03,10,Thursday,jamesbrett@example.net,(532)481-6960x8616,75.255.12.47,West Coast,FL,185.53,461,12,1,Desktop,Firefox,False,NONE,7.4
TXN-000712,CR-0112,"Jones, Adams and Hubbard Freight",ADDRESS_CHANGE,COMPLIANCE_FORM,2026-03-19 10:20:33,10,Thursday,jayjohnson@example.org,(265)519-6564x629,100.51.13.206,Southwest,GU,0.0,622,8,0,Desktop,Safari,False,NONE,17.7
TXN-001061,CR-0031,"Allen, Horton and Allison Trucking",COMPLIANCE_CHECK,PASSPORT,2026-03-19 10:31:09,10,Thursday,christopher06@example.org,001-803-482-2327x06033,175.238.246.102,Southwest,IN,0.0,1799,5,0,Mobile,Firefox,False,NONE,10.1
TXN-001602,CR-0120,Nunez and Sons Freight,AUTHORITY_RENEWAL,VEHICLE_REGISTRATION,2026-03-19 14:05:12,14,Thursday,casey93@example.net,211-986-8482,69.108.139.1,Southeast,WA,359.62,848,15,0,Mobile,Edge,False,NONE,11.8
TXN-000131,CR-0188,"Turner, Clark and Gray Trucking",IDENTITY_VERIFICATION,VEHICLE_REGISTRATION,2026-03-19 14:36:20,14,Thursday,savannah83@example.org,001-552-939-6505x45245,132.61.78.225,Midwest,PW,0.0,675,6,0,Tablet,Firefox,False,NONE,18.8
TXN-001483,CR-0138,York PLC Trucking,CONTACT_UPDATE,COMPLIANCE_FORM,2026-03-19 14:53:56,14,Thursday,julia24@example.com,903-907-5524x1350,73.44.207.111,Northwest,AZ,351.56,1560,11,1,Mobile,Safari,False,NONE,14.4
TXN-000095,CR-0067,Roach PLC Trucking,INSURANCE_UPDATE,DRIVERS_LICENSE,2026-03-19 15:13:34,15,Thursday,tleblanc@example.net,001-330-386-3194x569,123.178.235.126,Northwest,PR,0.0,211,9,0,Mobile,Chrome,False,NONE,24.3
